stop_id,stop_code,Stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3562,3562,El Dorado & Noble Ns/Nb,,37.975946,-121.297533,,,,,,0
3565,3565,El Dorado & Churchill Fs/Nb,EL DORADO ST & CHURCH ST,37.986566,-121.301867,,,,,,0
3332,3332,Kentfield & Surrey Lane Fs/Nb,,37.99466,-121.30149,,,,,,0
3366,3366,Bradford St & Wilson Ns/Wb,,37.97402,-121.27574,,,,,,0
3571,3571,Iris Ave & Hammer Village Fs Eb,,38.022592,-121.312672,,,,,,0
3575,3575,Knickerbocker & New York Ns Eb,KNICKERBOCK DR & NEW YORK DR,38.024152,-121.296113,,,,,,0
3354,3354,Filbert St & Roosevelt St Ns/Sb,,37.971613,-121.258886,,,,,,0
3353,3353,Filbert St & Oak Fs/Nb,,37.966274,-121.256535,,,,,,0
3369,3369,Filbert St & Roosevelt Ns/Nb,,37.971625,-121.258756,,,,,,0
3582,3582,Sandalwood Dr & Ringwood Ns Wb,SANDALWOOD DR & RINGWOOD AVE,38.032131,-121.28924,,,,,,0
3584,3584,West Lane Frontage @ 8700 West Lane,,38.03027,-121.294655,,,,,,0
3590,3590,Prospector & West Lane Frontage Wb,,38.032199,-121.295512,,,,,,0
3591,3591,Tam O'SHANTER Dr & Likala Fs Sb,,38.030112,-121.300641,,,,,,0
3592,3592,Tam O'SHANTER Dr & Erie Ns Sb,,38.025404,-121.300622,,,,,,0
3593,3593,Iris Ave & Lan Ark Fs Wb,,38.021942,-121.30967,,,,,,0
3594,3594,Iris Ave & Iris Ct Fs Wb,,38.021852,-121.311441,,,,,,0
3595,3595,Iris Ave & Dunbarton Fs Wb,,38.022752,-121.314661,,,,,,0
3600,3600,El Dorado & Alpine Fs Sb,,37.979667,-121.299196,,,,,,0
3612,3612,Stanislaus & Jackson Fs Sb,,37.941952,-121.278791,,,,,,0
7615,7615,Airport Wy & 8th Fs Sb,,37.931421,-121.267058,,,,,,0
3616,3616,Airport Wy & 10th Fs Sb,,37.928799,-121.266197,,,,,,0
3618,3618,Ralph & Zamora Fs Eb,,37.921885,-121.25475,,,,,,0
3620,3620,B & 13th Fs Nb,,37.928194,-121.253022,,,,,,0
3621,3621,B & 10th Fs Nb,,37.932275,-121.254665,,,,,,0
7126,7126,Holman Rd & E Telestar Pl  Arr Fs Nb,,38.018504,-121.27038,,,,,,0
7203,7203,Kettleman & Tienda Fs Nb,,38.115373,-121.302391,,,,,,0
7737,7737,Lincoln St & Weber Ave Fs Sb,,37.952086,-121.297877,,,,,,0
3864,3864,Church St & Pershing Ave Ns Wb,,37.944964,-121.308073,,,,,,0
3585,3585,West Lane & West Ln Front Rd Sb,,38.029401,-121.295108,,,,,,0
3634,3634,West Lane & Hammer Lane Fs Nb,,38.021505,-121.294708,,,,,,0
7264,7264,Fremont St & Commerce Ns Eb,FREMONT ST & COMMERCE ST,37.957347,-121.293516,,,,,,0
3081,3081,Mosswood & Odell Fs/Eb,MOSSWOOD AVE & ODELL AVE,37.923417,-121.285225,,,,,,0
3304,3304,Kentfield & March Ln Fs/Sb,,37.997251,-121.3031,,,,,,0
3331,3331,Bianchi Rd & Kentfield Ns/Wb,,37.993078,-121.300366,,,,,,0
3305,3305,Dorset & Bianchi Ns/Sb,,37.99454,-121.29803,,,,,,0
3328,3328,Bianchi Rd & Clowes Fs/Wb,,37.997391,-121.290618,,,,,,0
3329,3329,Bianchi Rd & Hillsboro Fs/Wb,,37.9959,-121.296,,,,,,0
